Filename,MD5Hash
1-191.dcm,43ec064585552711ccc436a0ff2ef2f2
1-051.dcm,3bcbd60dd3a5a5ab9928cc9f4cd2ef0c
1-183.dcm,60186a31fe955027dd5efa03908f4f88
1-140.dcm,67e9700f502c5a4d82351143729c3b8e
1-175.dcm,899ce0730e8d63b6b38683cf52aef707
1-043.dcm,9520dd1c7e774f565a4deee71a562b16
1-132.dcm,4c36639c2d778be641bc3007e35996be
1-078.dcm,87d348d84a63b31c6ee77cd57adc5d9c
1-086.dcm,9427c1d6ad27f362ce9b7587e90aef76
1-139.dcm,dd1ef5a3670c4aec945745ceb51bb418
1-094.dcm,0bf529a151e98e09bef3633ee48ebd86
1-228.dcm,2d58ca93ccf1ba3ddbf88ce63a04a561
1-147.dcm,caf37a27354bc892e7fab888c52d9f63
1-201.dcm,5e534fc70a74642c177632c26191f666
1-104.dcm,d4388d4ed3dbdb7835d5495a247db1c0
1-244.dcm,f0f3193ed7d39ba307cea838718f8bca
1-007.dcm,b2a487a89f603d15cd6ea3675107d42c
1-023.dcm,59779b9e962708e3791904af3ce4ca0e
1-019.dcm,5cfabbb42a369560359ac6008c46a2f9
1-159.dcm,52a8a0e6f682052eeec07b6a55a7ea55
1-213.dcm,05da5279157456f259c9a518f91bb97c
1-071.dcm,34575007bdd5518befa3e462fa1cd350
1-256.dcm,f5db03ae37150c5992eafb299dfddc8b
1-116.dcm,d0b38b73fb1eedc42dd7996530116bb0
1-035.dcm,779b9d3f4410e1371c1a6b1104b7ccac
1-163.dcm,2d1590e31c8d5feffdb78c5835fcc5fb
1-066.dcm,5d0fd237775710029540b432a4944c68
1-120.dcm,821c94508b618b6223401437de28273c
1-225.dcm,1e3f3d2736d43e2c33410066fe194072
1-179.dcm,dd3270a78da25bf73b6a10f432a13124
1-101.dcm,4d46ee3b2ba4d5e174c30c70e923614e
1-208.dcm,fa0c4237fcc36f2094e99afa9d4a554f
1-119.dcm,199f867e7f6184e57ef34d6f1169440b
1-136.dcm,abd22618911b403f96f5a34777df2a62
1-003.dcm,c136acc66ab9ba907756ffbbb15e73dd
1-082.dcm,daa25feaf798ad237da1e86d5c5ed5c9
1-038.dcm,b308021f2432590bada6ed7444b1ac77
1-046.dcm,ee6f1d952f6d4bb3a980db8849df8405
